category,template,description,preview_path
"Contracts","Employment Contract","Set role, compensation, benefits, and conditions.","handoff/template-previews/contracts/Employment Contract.png"
"Contracts","Freelance Contract","Define freelance scope, deadlines, fees, and rights.","handoff/template-previews/contracts/Freelance Contract.png"
"Contracts","General Contract","Record the core terms agreed between two parties.","handoff/template-previews/contracts/General Contract.png"
"Contracts","Landscaping Contract","Define services, schedule, and pricing for landscaping.","handoff/template-previews/contracts/Landscaping Contract.png"
"Contracts","Nanny Contract","Define childcare duties, schedule, pay, and policies.","handoff/template-previews/contracts/Nanny Contract.png"
"Contracts","Photography Contract","Set shoot details, fees, delivery, and image rights.","handoff/template-previews/contracts/Photography Contract.png"
"Contracts","Real Estate Contract","Record property transaction terms and deadlines.","handoff/template-previews/contracts/Real Estate Contract.png"
"Contracts","Roofing Contract","Set roofing scope, materials, price, and warranty.","handoff/template-previews/contracts/Roofing Contract.png"
"Contracts","SEO Contract","Define SEO services, goals, reporting, and fees.","handoff/template-previews/contracts/SEO Contract.png"
"Contracts","Sales Contract","Set product sale terms, payment, and delivery.","handoff/template-previews/contracts/Sales Contract.png"
"Contracts","Service Contract","Detail services, responsibilities, fees, and timing.","handoff/template-previews/contracts/Service Contract.png"
"Bill of Sale","Bill of Sale Template","A general bill of sale for any item.","handoff/template-previews/bill-of-sale/Bill of Sale Template.png"
"Bill of Sale","Boat Bill of Sale Template","Transfer boat ownership with sale details.","handoff/template-previews/bill-of-sale/Boat Bill of Sale Template.png"
"Bill of Sale","Car Bill of Sale Template","Document a vehicle sale with all details.","handoff/template-previews/bill-of-sale/Car Bill of Sale Template.png"
"Bill of Sale","Gun Bill of Sale Template","Document a firearm transfer between parties.","handoff/template-previews/bill-of-sale/Gun Bill of Sale Template.png"
"Bill of Sale","Motorcycle Bill of Sale Template","Document a motorcycle sale between parties.","handoff/template-previews/bill-of-sale/Motorcycle Bill of Sale Template.png"
"Bill of Sale","RV Bill of Sale Template","Transfer RV ownership with documented terms.","handoff/template-previews/bill-of-sale/RV Bill of Sale Template.png"
"Bill of Sale","Trailer Bill of Sale Template","Record the sale of a trailer.","handoff/template-previews/bill-of-sale/Trailer Bill of Sale Template.png"
